name,category,pack_size,order_type,price,currency,available
Tapeswaram Kaja (House Special),Sweets,250g,regular,9,USD,true
Tapeswaram Kaja (House Special),Sweets,500g,regular,17,USD,true
Tapeswaram Kaja (House Special),Sweets,1kg,regular,33,USD,true
Pootharekulu,Sweets,250g,regular,9,USD,true
Pootharekulu,Sweets,500g,regular,17,USD,true
Pootharekulu,Sweets,1kg,regular,33,USD,true
Kakinada Kaja (Juicy),Sweets,250g,regular,9,USD,true
Kakinada Kaja (Juicy),Sweets,500g,regular,17,USD,true
Kakinada Kaja (Juicy),Sweets,1kg,regular,33,USD,true
Badusha,Sweets,250g,regular,9,USD,true
Badusha,Sweets,500g,regular,17,USD,true
Badusha,Sweets,1kg,regular,33,USD,true
Besan Laddu,Sweets,250g,regular,9,USD,true
Besan Laddu,Sweets,500g,regular,17,USD,true
Besan Laddu,Sweets,1kg,regular,33,USD,true
Bombay Halwa,Sweets,250g,regular,9,USD,true
Bombay Halwa,Sweets,500g,regular,17,USD,true
Bombay Halwa,Sweets,1kg,regular,33,USD,true
Chandrakala,Sweets,250g,regular,9,USD,true
Chandrakala,Sweets,500g,regular,17,USD,true
Chandrakala,Sweets,1kg,regular,33,USD,true
Dry Fruit Laddus,Sweets,250g,regular,9,USD,true
Dry Fruit Laddus,Sweets,500g,regular,17,USD,true
Dry Fruit Laddus,Sweets,1kg,regular,33,USD,true
Gulab Jamun,Sweets,250g,regular,9,USD,true
Gulab Jamun,Sweets,500g,regular,17,USD,true
Gulab Jamun,Sweets,1kg,regular,33,USD,true
Kaju Katli,Sweets,250g,regular,9,USD,true
Kaju Katli,Sweets,500g,regular,17,USD,true
Kaju Katli,Sweets,1kg,regular,33,USD,true
Laddu,Sweets,250g,regular,9,USD,true
Laddu,Sweets,500g,regular,17,USD,true
Laddu,Sweets,1kg,regular,33,USD,true
Malai Puri Sweet,Sweets,250g,regular,9,USD,true
Malai Puri Sweet,Sweets,500g,regular,17,USD,true
Malai Puri Sweet,Sweets,1kg,regular,33,USD,true
Milk Mysore Pak,Sweets,250g,regular,9,USD,true
Milk Mysore Pak,Sweets,500g,regular,17,USD,true
Milk Mysore Pak,Sweets,1kg,regular,33,USD,true
Motichur Laddu,Sweets,250g,regular,9,USD,true
Motichur Laddu,Sweets,500g,regular,17,USD,true
Motichur Laddu,Sweets,1kg,regular,33,USD,true
Mysore Pak,Sweets,250g,regular,9,USD,true
Mysore Pak,Sweets,500g,regular,17,USD,true
Mysore Pak,Sweets,1kg,regular,33,USD,true
Pala Kova,Sweets,250g,regular,9,USD,true
Pala Kova,Sweets,500g,regular,17,USD,true
Pala Kova,Sweets,1kg,regular,33,USD,true
Peda,Sweets,250g,regular,9,USD,true
Peda,Sweets,500g,regular,17,USD,true
Peda,Sweets,1kg,regular,33,USD,true
Roast Kalakand,Sweets,250g,regular,9,USD,true
Roast Kalakand,Sweets,500g,regular,17,USD,true
Roast Kalakand,Sweets,1kg,regular,33,USD,true
Seeni Sev,Sweets,250g,regular,9,USD,true
Seeni Sev,Sweets,500g,regular,17,USD,true
Seeni Sev,Sweets,1kg,regular,33,USD,true
Tapeswaram Khaja,Sweets,250g,regular,9,USD,true
Tapeswaram Khaja,Sweets,500g,regular,17,USD,true
Tapeswaram Khaja,Sweets,1kg,regular,33,USD,true
